Key,NUTS2 Origin,NUTS2 Destination,Distance (km),Time (h)
AT11-AT11,AT11,AT11,0,0
AT11-AT12,AT11,AT12,131.23,1.43
AT11-AT13,AT11,AT13,93.34,0.95
AT11-AT21,AT11,AT21,289.78,3.36
AT11-AT22,AT11,AT22,169.19,1.95
AT11-AT31,AT11,AT31,268.53,3.22
AT11-AT32,AT11,AT32,361.1,4.29
AT11-AT33,AT11,AT33,493.62,5.9
AT11-AT34,AT11,AT34,656.94,7.93
AT11-BE10,AT11,BE10,1138.79,14.13
AT11-BE21,AT11,BE21,1130.52,13.98
AT11-BE22,AT11,BE22,1059.7,13.03
AT11-BE23,AT11,BE23,1185.63,14.75
AT11-BE24,AT11,BE24,1127.56,13.98
AT11-BE25,AT11,BE25,1238.4,15.46
AT11-BE31,AT11,BE31,1135.87,14.01
AT11-BE32,AT11,BE32,1180.79,14.66
AT11-BE33,AT11,BE33,1036.51,12.75
AT11-BE34,AT11,BE34,1040.6,12.87
AT11-BE35,AT11,BE35,1106.2,13.66
AT11-BG31,AT11,BG31,947.03,10.52
AT11-BG32,AT11,BG32,1116.67,12.51
AT11-BG33,AT11,BG33,1168.56,13.28
AT11-BG34,AT11,BG34,1229.78,13.6
AT11-BG41,AT11,BG41,999.17,10.84
AT11-BG42,AT11,BG42,1121.41,12.24
AT11-CH01,AT11,CH01,941.75,11.37
AT11-CH02,AT11,CH02,873.71,10.65
AT11-CH03,AT11,CH03,805.14,9.88
AT11-CH04,AT11,CH04,742.64,9.11
AT11-CH05,AT11,CH05,695.54,8.37
AT11-CH06,AT11,CH06,815.27,9.77
AT11-CH07,AT11,CH07,801.23,9.48
AT11-CZ01,AT11,CZ01,377.17,4.07
AT11-CZ02,AT11,CZ02,370.74,3.99
AT11-CZ03,AT11,CZ03,341.05,3.86
AT11-CZ04,AT11,CZ04,471.85,5.25
AT11-CZ05,AT11,CZ05,370.88,3.81
AT11-CZ06,AT11,CZ06,244.68,2.54
AT11-CZ07,AT11,CZ07,294.86,3.06
AT11-CZ08,AT11,CZ08,360.15,3.85
AT11-DE11,AT11,DE11,673.62,8.19
AT11-DE12,AT11,DE12,737.09,9.05
AT11-DE13,AT11,DE13,744.09,9.22
AT11-DE14,AT11,DE14,648.7,8.01
AT11-DE21,AT11,DE21,456.92,5.61
AT11-DE22,AT11,DE22,407.95,4.84
AT11-DE23,AT11,DE23,490.05,5.79
AT11-DE24,AT11,DE24,602.2,7.09
AT11-DE25,AT11,DE25,566.96,6.84
AT11-DE26,AT11,DE26,673.4,8.1
AT11-DE27,AT11,DE27,562.15,6.96
AT11-DE30,AT11,DE30,702.33,7.48
AT11-DE40,AT11,DE40,715.25,7.66
AT11-DE50,AT11,DE50,995.07,11.56
AT11-DE60,AT11,DE60,953.34,10.73
AT11-DE71,AT11,DE71,763.89,9.29
AT11-DE72,AT11,DE72,818.65,9.84
AT11-DE73,AT11,DE73,815.32,9.59
AT11-DE80,AT11,DE80,921.02,9.81
AT11-DE91,AT11,DE91,809.08,9.37
AT11-DE92,AT11,DE92,897.31,10.46
AT11-DE93,AT11,DE93,917.87,10.43
AT11-DE94,AT11,DE94,1055.82,12.46
AT11-DEA1,AT11,DEA1,1011.1,12.2
AT11-DEA2,AT11,DEA2,952.8,11.62
AT11-DEA3,AT11,DEA3,1009.33,12.17
AT11-DEA4,AT11,DEA4,925.25,10.93
AT11-DEA5,AT11,DEA5,945.61,11.26
AT11-DEB1,AT11,DEB1,878.69,10.73
AT11-DEB2,AT11,DEB2,937.82,11.55
AT11-DEB3,AT11,DEB3,826.94,10.2
AT11-DED2,AT11,DED2,529.69,5.63
AT11-DED4,AT11,DED4,561.66,6.31
AT11-DED5,AT11,DED5,616.85,6.87
AT11-DEE0,AT11,DEE0,729.76,8.2
AT11-DEF0,AT11,DEF0,1049.85,11.73
AT11-DEG0,AT11,DEG0,683.47,7.96
AT11-DK01,AT11,DK01,1104.06,11.61
AT11-DK02,AT11,DK02,1079.07,11.53
AT11-DK03,AT11,DK03,1169.1,12.97
AT11-DK04,AT11,DK04,1280.36,14.1
AT11-DK05,AT11,DK05,1341.6,14.65
AT11-EE00,AT11,EE00,1664.68,18.28
AT11-EL30,AT11,EL30,1645.81,17.02
AT11-EL41,AT11,EL41,1662.39,17.48
AT11-EL42,AT11,EL42,2008.71,20.87
AT11-EL43,AT11,EL43,1968.56,20.03
AT11-EL51,AT11,EL51,1337.57,14.29
AT11-EL52,AT11,EL52,1202,12.67
AT11-EL53,AT11,EL53,1204.55,12.43
AT11-EL54,AT11,EL54,1213.85,12.34
AT11-EL61,AT11,EL61,1344.03,14.01
AT11-EL62,AT11,EL62,1707.4,17.17
AT11-EL63,AT11,EL63,1373.78,13.88
AT11-EL64,AT11,EL64,1494.39,15.51
AT11-EL65,AT11,EL65,1589.09,16
AT11-ES11,AT11,ES11,2505.17,29.27
AT11-ES12,AT11,ES12,2242.98,26.42
AT11-ES13,AT11,ES13,2084.34,24.52
AT11-ES21,AT11,ES21,1954.42,23.03
AT11-ES22,AT11,ES22,1924.2,22.19
AT11-ES23,AT11,ES23,2018.2,23.23
AT11-ES24,AT11,ES24,1850.43,20.95
AT11-ES30,AT11,ES30,2162.3,24.42
AT11-ES41,AT11,ES41,2170.69,25.38
AT11-ES42,AT11,ES42,2165.2,24.21
AT11-ES43,AT11,ES43,2496.94,27.97
AT11-ES51,AT11,ES51,1641.42,18.58
AT11-ES52,AT11,ES52,1913.89,21.44
AT11-ES53,AT11,ES53,1746.12,19.3
AT11-ES61,AT11,ES61,2423.2,26.81
AT11-ES62,AT11,ES62,2120.34,23.44
AT11-ES63,AT11,ES63,2613.38,28.61
AT11-FI19,AT11,FI19,2124.64,24.01
AT11-FI1B,AT11,FI1B,1765.31,19.68
AT11-FI1C,AT11,FI1C,1872.56,21.45
AT11-FI1D,AT11,FI1D,2383.37,26.56
AT11-FI20,AT11,FI20,1779.22,19.76
AT11-FR10,AT11,FR10,1250.97,15.67
AT11-FR21,AT11,FR21,1081.08,13.47
AT11-FR22,AT11,FR22,1255.02,15.62
AT11-FR23,AT11,FR23,1367.05,17.15
AT11-FR24,AT11,FR24,1357.06,16.78
AT11-FR25,AT11,FR25,1508.54,18.98
AT11-FR26,AT11,FR26,1141.15,14.02
AT11-FR30,AT11,FR30,1264.79,15.72
AT11-FR41,AT11,FR41,931.98,11.59
AT11-FR42,AT11,FR42,865.96,10.66
AT11-FR43,AT11,FR43,980.48,12.07
AT11-FR51,AT11,FR51,1556.15,19.4
AT11-FR52,AT11,FR52,1720.85,21.7
AT11-FR53,AT11,FR53,1538.91,18.82
AT11-FR61,AT11,FR61,1666.63,19.82
AT11-FR62,AT11,FR62,1574.42,18.32
AT11-FR63,AT11,FR63,1446.94,17.39
AT11-FR71,AT11,FR71,1144.26,13.49
AT11-FR72,AT11,FR72,1335.42,15.99
AT11-FR81,AT11,FR81,1412,16.46
AT11-FR82,AT11,FR82,1185.15,13.76
AT11-FR83,AT11,FR83,1045.94,11.46
AT11-HR03,AT11,HR03,498.42,5.1
AT11-HR04,AT11,HR04,284.38,2.99
AT11-HU10,AT11,HU10,247.27,3.08
AT11-HU21,AT11,HU21,168.26,1.93
AT11-HU22,AT11,HU22,82.66,0.89
AT11-HU23,AT11,HU23,231.45,2.54
AT11-HU31,AT11,HU31,393.86,4.78
AT11-HU32,AT11,HU32,421.63,5.28
AT11-HU33,AT11,HU33,370.37,4.42
AT11-IE01,AT11,IE01,2211.83,28.45
AT11-IE02,AT11,IE02,2226.26,28.51
AT11-ITC1,AT11,ITC1,858.61,10.16
AT11-ITC2,AT11,ITC2,921.23,10.94
AT11-ITC3,AT11,ITC3,877.88,10.1
AT11-ITC4,AT11,ITC4,723.22,8.5
AT11-ITF1,AT11,ITF1,852.77,9
AT11-ITF2,AT11,ITF2,951.29,10.05
AT11-ITF3,AT11,ITF3,1054.15,11.04
AT11-ITF4,AT11,ITF4,976.49,9.99
AT11-ITF5,AT11,ITF5,1078.1,11.05
AT11-ITF6,AT11,ITF6,1225.82,12.45
AT11-ITG1,AT11,ITG1,1450.97,14.77
AT11-ITG2,AT11,ITG2,1327.98,14.23
AT11-ITH1,AT11,ITH1,493.71,5.89
AT11-ITH2,AT11,ITH2,571.17,6.65
AT11-ITH3,AT11,ITH3,509.26,5.92
AT11-ITH4,AT11,ITH4,401.33,4.63
AT11-ITH5,AT11,ITH5,687.49,7.77
AT11-ITI1,AT11,ITI1,802.5,8.81
AT11-ITI2,AT11,ITI2,841.67,8.98
AT11-ITI3,AT11,ITI3,746.03,7.98
AT11-ITI4,AT11,ITI4,922.41,9.72
AT11-LT00,AT11,LT00,1159.37,12.87
AT11-LU00,AT11,LU00,986.36,12.15
AT11-LV00,AT11,LV00,1429.86,16.03
AT11-NL11,AT11,NL11,1153.57,13.8
AT11-NL12,AT11,NL12,1192.07,14.43
AT11-NL13,AT11,NL13,1116.34,13.46
AT11-NL21,AT11,NL21,1122.25,13.52
AT11-NL22,AT11,NL22,1099.23,13.22
AT11-NL23,AT11,NL23,1171.45,14.25
AT11-NL31,AT11,NL31,1152.36,13.96
AT11-NL32,AT11,NL32,1220.71,14.72
AT11-NL33,AT11,NL33,1196.03,14.6
AT11-NL34,AT11,NL34,1193.66,14.78
AT11-NL41,AT11,NL41,1117.78,13.7
AT11-NL42,AT11,NL42,1048.19,12.8
AT11-PL11,AT11,PL11,633.16,6.79
AT11-PL12,AT11,PL12,738.49,8.13
AT11-PL21,AT11,PL21,519.87,6
AT11-PL22,AT11,PL22,453.09,4.96
AT11-PL31,AT11,PL31,791.95,9.27
AT11-PL32,AT11,PL32,663.66,7.92
AT11-PL33,AT11,PL33,622.9,7.01
AT11-PL34,AT11,PL34,901.53,10.17
AT11-PL41,AT11,PL41,696.96,7.41
AT11-PL42,AT11,PL42,804.24,8.43
AT11-PL43,AT11,PL43,632.74,6.52
AT11-PL51,AT11,PL51,477.12,4.86
AT11-PL52,AT11,PL52,470.18,4.94
AT11-PL61,AT11,PL61,800.74,8.51
AT11-PL62,AT11,PL62,927.34,9.97
AT11-PL63,AT11,PL63,927.91,10.01
AT11-PT11,AT11,PT11,2513.05,29.15
AT11-PT15,AT11,PT15,2762.8,30.45
AT11-PT16,AT11,PT16,2629.09,30.24
AT11-PT17,AT11,PT17,2748.31,30.56
AT11-PT18,AT11,PT18,2690.34,29.89
AT11-RO11,AT11,RO11,618.35,7.59
AT11-RO12,AT11,RO12,791.38,9.56
AT11-RO21,AT11,RO21,953.59,11.56
AT11-RO22,AT11,RO22,1127.78,13.12
AT11-RO31,AT11,RO31,983.72,11.39
AT11-RO32,AT11,RO32,1027.6,11.89
AT11-RO41,AT11,RO41,821.13,9.46
AT11-RO42,AT11,RO42,578.08,6.71
AT11-SE11,AT11,SE11,1638.98,17.78
AT11-SE12,AT11,SE12,1550.57,16.42
AT11-SE21,AT11,SE21,1391.96,15.04
AT11-SE22,AT11,SE22,1151.28,12.03
AT11-SE23,AT11,SE23,1402.59,14.73
AT11-SE31,AT11,SE31,1782.9,18.94
AT11-SE32,AT11,SE32,2078.06,22.81
AT11-SE33,AT11,SE33,2475.4,28.37
AT11-SI03,AT11,SI03,246.31,2.65
AT11-SI04,AT11,SI04,372.15,4.11
AT11-SK01,AT11,SK01,141.22,1.55
AT11-SK02,AT11,SK02,215.25,2.47
AT11-SK03,AT11,SK03,325.96,3.81
AT11-SK04,AT11,SK04,491.06,5.89
AT11-UKC1,AT11,UKC1,1740.92,21.63
AT11-UKC2,AT11,UKC2,1752.33,21.84
AT11-UKD1,AT11,UKD1,1800.66,22.67
AT11-UKD3,AT11,UKD3,1727.63,21.78
AT11-UKD4,AT11,UKD4,1761.94,22.22
AT11-UKD6,AT11,UKD6,1742.91,21.98
AT11-UKD7,AT11,UKD7,1768.07,22.41
AT11-UKE1,AT11,UKE1,1595.63,19.92
AT11-UKE2,AT11,UKE2,1683.16,21.05
AT11-UKE3,AT11,UKE3,1668.68,20.99
AT11-UKE4,AT11,UKE4,1678.63,21.1
AT11-UKF1,AT11,UKF1,1653.02,20.85
AT11-UKF2,AT11,UKF2,1588.43,20.07
AT11-UKF3,AT11,UKF3,1611.15,20.19
AT11-UKG1,AT11,UKG1,1668.55,21.18
AT11-UKG2,AT11,UKG2,1689.9,21.49
AT11-UKG3,AT11,UKG3,1651.43,20.97
AT11-UKH1,AT11,UKH1,1462.33,18.34
AT11-UKH2,AT11,UKH2,1538.66,19.38
AT11-UKH3,AT11,UKH3,1451.93,18.25
AT11-UKI3,AT11,UKI3,1487.01,18.86
AT11-UKI4,AT11,UKI4,1479.06,18.76
AT11-UKI5,AT11,UKI5,1479.55,18.74
AT11-UKI6,AT11,UKI6,1484.51,18.82
AT11-UKI7,AT11,UKI7,1498.44,19.02
AT11-UKJ1,AT11,UKJ1,1565.98,19.9
AT11-UKJ2,AT11,UKJ2,1503.62,19.07
AT11-UKJ3,AT11,UKJ3,1586.95,20.14
AT11-UKJ4,AT11,UKJ4,1418.72,17.97
AT11-UKK1,AT11,UKK1,1657.15,21.09
AT11-UKK2,AT11,UKK2,1679.88,21.44
AT11-UKK3,AT11,UKK3,1891.99,24.15
AT11-UKK4,AT11,UKK4,1786.42,22.82
AT11-UKL1,AT11,UKL1,1837.69,23.41
AT11-UKL2,AT11,UKL2,1748.16,22.27
AT11-UKM2,AT11,UKM2,1920.41,23.92
AT11-UKM3,AT11,UKM3,1931.96,24.33
AT11-UKM5,AT11,UKM5,2077.72,25.8
AT11-UKM6,AT11,UKM6,2207.54,27.48
AT11-UKN0,AT11,UKN0,2119.32,26.86
AT12-AT11,AT12,AT11,131.23,1.43
AT12-AT12,AT12,AT12,0,0
AT12-AT13,AT12,AT13,48.68,0.6
AT12-AT21,AT12,AT21,311.08,3.54
AT12-AT22,AT12,AT22,183.11,2.06
AT12-AT31,AT12,AT31,157.49,1.99
AT12-AT32,AT12,AT32,297.26,3.52
AT12-AT33,AT12,AT33,393.59,4.83
AT12-AT34,AT12,AT34,555.61,6.78
AT12-BE10,AT12,BE10,1027.75,12.9
AT12-BE21,AT12,BE21,1019.48,12.75
AT12-BE22,AT12,BE22,948.66,11.8
AT12-BE23,AT12,BE23,1074.6,13.52
AT12-BE24,AT12,BE24,1016.53,12.75
AT12-BE25,AT12,BE25,1127.37,14.23
AT12-BE31,AT12,BE31,1024.84,12.78
AT12-BE32,AT12,BE32,1069.75,13.44
AT12-BE33,AT12,BE33,925.48,11.52
AT12-BE34,AT12,BE34,929.57,11.64
AT12-BE35,AT12,BE35,995.16,12.43
AT12-BG31,AT12,BG31,1002.35,11.17
AT12-BG32,AT12,BG32,1172,13.16
AT12-BG33,AT12,BG33,1223.89,13.92
AT12-BG34,AT12,BG34,1285.1,14.24
AT12-BG41,AT12,BG41,1058.97,11.38
AT12-BG42,AT12,BG42,1181.21,12.78
AT12-CH01,AT12,CH01,830.71,10.14
AT12-CH02,AT12,CH02,762.68,9.43
AT12-CH03,AT12,CH03,694.11,8.65
AT12-CH04,AT12,CH04,631.6,7.88
AT12-CH05,AT12,CH05,595.51,7.29
AT12-CH06,AT12,CH06,707.68,8.72
AT12-CH07,AT12,CH07,734.49,8.78
AT12-CZ01,AT12,CZ01,281.54,3.1
AT12-CZ02,AT12,CZ02,275.11,3.02
AT12-CZ03,AT12,CZ03,232.13,2.65
AT12-CZ04,AT12,CZ04,376.22,4.28
AT12-CZ05,AT12,CZ05,278.53,2.87
AT12-CZ06,AT12,CZ06,175.89,1.96
AT12-CZ07,AT12,CZ07,226.07,2.48
AT12-CZ08,AT12,CZ08,300.14,3.36
AT12-DE11,AT12,DE11,562.58,6.96
AT12-DE12,AT12,DE12,626.06,7.82
AT12-DE13,AT12,DE13,633.06,7.99
AT12-DE14,AT12,DE14,537.67,6.78
AT12-DE21,AT12,DE21,345.89,4.38
AT12-DE22,AT12,DE22,296.91,3.61
AT12-DE23,AT12,DE23,379.01,4.56
AT12-DE24,AT12,DE24,492.86,5.84
AT12-DE25,AT12,DE25,455.92,5.61
AT12-DE26,AT12,DE26,562.36,6.87
AT12-DE27,AT12,DE27,451.11,5.74
AT12-DE30,AT12,DE30,606.7,6.51
AT12-DE40,AT12,DE40,619.62,6.69
AT12-DE50,AT12,DE50,899.44,10.59
AT12-DE60,AT12,DE60,857.71,9.76
AT12-DE71,AT12,DE71,652.86,8.06
AT12-DE72,AT12,DE72,707.61,8.61
AT12-DE73,AT12,DE73,704.28,8.36
AT12-DE80,AT12,DE80,825.39,8.84
AT12-DE91,AT12,DE91,713.45,8.4
AT12-DE92,AT12,DE92,801.68,9.49
AT12-DE93,AT12,DE93,822.24,9.46
AT12-DE94,AT12,DE94,960.2,11.49
AT12-DEA1,AT12,DEA1,900.06,10.97
AT12-DEA2,AT12,DEA2,841.76,10.39
AT12-DEA3,AT12,DEA3,903.11,10.92
AT12-DEA4,AT12,DEA4,827.29,9.81
AT12-DEA5,AT12,DEA5,834.58,10.03
AT12-DEB1,AT12,DEB1,767.66,9.5
AT12-DEB2,AT12,DEB2,826.78,10.32
AT12-DEB3,AT12,DEB3,715.91,8.97
AT12-DED2,AT12,DED2,434.06,4.66
AT12-DED4,AT12,DED4,466.03,5.34
AT12-DED5,AT12,DED5,521.22,5.9
AT12-DEE0,AT12,DEE0,634.13,7.23
AT12-DEF0,AT12,DEF0,954.23,10.76
AT12-DEG0,AT12,DEG0,584.4,6.84
AT12-DK01,AT12,DK01,1024.53,10.98
AT12-DK02,AT12,DK02,983.44,10.56
AT12-DK03,AT12,DK03,1073.47,12
AT12-DK04,AT12,DK04,1184.74,13.13
AT12-DK05,AT12,DK05,1245.97,13.68
AT12-EE00,AT12,EE00,1612.01,17.94
AT12-EL30,AT12,EL30,1705.61,17.56
AT12-EL41,AT12,EL41,1722.2,18.02
AT12-EL42,AT12,EL42,2068.52,21.41
AT12-EL43,AT12,EL43,2028.37,20.57
AT12-EL51,AT12,EL51,1397.37,14.83
AT12-EL52,AT12,EL52,1261.81,13.21
AT12-EL53,AT12,EL53,1284.21,13.41
AT12-EL54,AT12,EL54,1343.62,13.74
AT12-EL61,AT12,EL61,1403.83,14.55
AT12-EL62,AT12,EL62,1837.17,18.57
AT12-EL63,AT12,EL63,1503.55,15.28
AT12-EL64,AT12,EL64,1554.19,16.05
AT12-EL65,AT12,EL65,1718.86,17.41
AT12-ES11,AT12,ES11,2394.13,28.04
AT12-ES12,AT12,ES12,2131.95,25.19
AT12-ES13,AT12,ES13,1973.31,23.29
AT12-ES21,AT12,ES21,1843.39,21.8
AT12-ES22,AT12,ES22,1835.24,21.6
AT12-ES23,AT12,ES23,1923.08,22.59
AT12-ES24,AT12,ES24,1863.69,20.99
AT12-ES30,AT12,ES30,2175.56,24.45
AT12-ES41,AT12,ES41,2059.65,24.15
AT12-ES42,AT12,ES42,2178.46,24.24
AT12-ES43,AT12,ES43,2448.23,27.97
AT12-ES51,AT12,ES51,1654.68,18.61
AT12-ES52,AT12,ES52,1927.15,21.47
AT12-ES53,AT12,ES53,1759.38,19.33
AT12-ES61,AT12,ES61,2436.46,26.84
AT12-ES62,AT12,ES62,2133.6,23.47
AT12-ES63,AT12,ES63,2626.64,28.64
AT12-FI19,AT12,FI19,2055.86,23.44
AT12-FI1B,AT12,FI1B,1696.52,19.11
AT12-FI1C,AT12,FI1C,1803.78,20.87
AT12-FI1D,AT12,FI1D,2314.58,25.99
AT12-FI20,AT12,FI20,1710.44,19.18
AT12-FR10,AT12,FR10,1139.94,14.44
AT12-FR21,AT12,FR21,970.04,12.24
AT12-FR22,AT12,FR22,1143.98,14.4
AT12-FR23,AT12,FR23,1256.01,15.92
AT12-FR24,AT12,FR24,1246.02,15.55
AT12-FR25,AT12,FR25,1397.5,17.75
AT12-FR26,AT12,FR26,1030.11,12.79
AT12-FR30,AT12,FR30,1153.75,14.49
AT12-FR41,AT12,FR41,820.94,10.36
AT12-FR42,AT12,FR42,754.93,9.43
AT12-FR43,AT12,FR43,869.44,10.84
AT12-FR51,AT12,FR51,1445.11,18.17
AT12-FR52,AT12,FR52,1609.81,20.47
AT12-FR53,AT12,FR53,1427.87,17.59
AT12-FR61,AT12,FR61,1555.59,18.59
AT12-FR62,AT12,FR62,1512.9,17.74
AT12-FR63,AT12,FR63,1335.9,16.16
AT12-FR71,AT12,FR71,1084.66,12.99
AT12-FR72,AT12,FR72,1224.38,14.76
AT12-FR81,AT12,FR81,1399.98,16.27
AT12-FR82,AT12,FR82,1173.13,13.57
AT12-FR83,AT12,FR83,1103.81,11.98
AT12-HR03,AT12,HR03,628.17,6.48
AT12-HR04,AT12,HR04,405.54,4.27
AT12-HU10,AT12,HU10,302.6,3.73
AT12-HU21,AT12,HU21,229.87,2.66
AT12-HU22,AT12,HU22,173.93,1.87
AT12-HU23,AT12,HU23,347.11,3.77
AT12-HU31,AT12,HU31,423.66,5.2
AT12-HU32,AT12,HU32,476.95,5.93
AT12-HU33,AT12,HU33,425.7,5.07
AT12-IE01,AT12,IE01,2100.8,27.22
AT12-IE02,AT12,IE02,2115.23,27.28
AT12-ITC1,AT12,ITC1,864.81,10.17
AT12-ITC2,AT12,ITC2,874.49,10.45
AT12-ITC3,AT12,ITC3,891.14,10.13
AT12-ITC4,AT12,ITC4,731.28,8.54
AT12-ITF1,AT12,ITF1,982.52,10.38
AT12-ITF2,AT12,ITF2,1081.04,11.44
AT12-ITF3,AT12,ITF3,1183.9,12.43
AT12-ITF4,AT12,ITF4,1107.73,11.41
AT12-ITF5,AT12,ITF5,1209.33,12.48
AT12-ITF6,AT12,ITF6,1357.06,13.87
AT12-ITG1,AT12,ITG1,1580.72,16.15
AT12-ITG2,AT12,ITG2,1394.57,14.85
AT12-ITH1,AT12,ITH1,490.54,5.85
AT12-ITH2,AT12,ITH2,572.45,6.72
AT12-ITH3,AT12,ITH3,567.13,6.44
AT12-ITH4,AT12,ITH4,459.2,5.16
AT12-ITH5,AT12,ITH5,745.36,8.3
AT12-ITI1,AT12,ITI1,860.37,9.34
AT12-ITI2,AT12,ITI2,902.32,9.72
AT12-ITI3,AT12,ITI3,875.78,9.36
AT12-ITI4,AT12,ITI4,1052.16,11.1
AT12-LT00,AT12,LT00,1106.7,12.54
AT12-LU00,AT12,LU00,875.33,10.92
AT12-LV00,AT12,LV00,1377.19,15.7
AT12-NL11,AT12,NL11,1057.94,12.83
AT12-NL12,AT12,NL12,1096.44,13.46
AT12-NL13,AT12,NL13,1020.71,12.49
AT12-NL21,AT12,NL21,1016.03,12.27
AT12-NL22,AT12,NL22,988.2,11.99
AT12-NL23,AT12,NL23,1062.62,12.78
AT12-NL31,AT12,NL31,1041.32,12.73
AT12-NL32,AT12,NL32,1109.68,13.49
AT12-NL33,AT12,NL33,1084.99,13.37
AT12-NL34,AT12,NL34,1082.62,13.55
AT12-NL41,AT12,NL41,1006.74,12.47
AT12-NL42,AT12,NL42,937.15,11.58
AT12-PL11,AT12,PL11,580.49,6.45
AT12-PL12,AT12,PL12,685.82,7.8
AT12-PL21,AT12,PL21,467.2,5.67
AT12-PL22,AT12,PL22,400.41,4.63
AT12-PL31,AT12,PL31,739.27,8.94
AT12-PL32,AT12,PL32,610.98,7.59
AT12-PL33,AT12,PL33,570.23,6.68
AT12-PL34,AT12,PL34,848.85,9.84
AT12-PL41,AT12,PL41,628.17,6.83
AT12-PL42,AT12,PL42,735.45,7.86
AT12-PL43,AT12,PL43,563.95,5.95
AT12-PL51,AT12,PL51,408.34,4.28
AT12-PL52,AT12,PL52,401.39,4.37
AT12-PL61,AT12,PL61,731.95,7.93
AT12-PL62,AT12,PL62,874.67,9.64
AT12-PL63,AT12,PL63,859.12,9.44
AT12-PT11,AT12,PT11,2402.01,27.92
AT12-PT15,AT12,PT15,2776.06,30.48
AT12-PT16,AT12,PT16,2518.06,29.01
AT12-PT17,AT12,PT17,2678.38,30.53
AT12-PT18,AT12,PT18,2647.78,30.07
AT12-RO11,AT12,RO11,673.67,8.24
AT12-RO12,AT12,RO12,846.71,10.21
AT12-RO21,AT12,RO21,1008.91,12.2
AT12-RO22,AT12,RO22,1183.11,13.77
AT12-RO31,AT12,RO31,1039.05,12.04
AT12-RO32,AT12,RO32,1082.92,12.54
AT12-RO41,AT12,RO41,876.46,10.11
AT12-RO42,AT12,RO42,633.41,7.35
AT12-SE11,AT12,SE11,1570.19,17.2
AT12-SE12,AT12,SE12,1481.78,15.85
AT12-SE21,AT12,SE21,1319.65,14.47
AT12-SE22,AT12,SE22,1078.97,11.45
AT12-SE23,AT12,SE23,1330.28,14.16
AT12-SE31,AT12,SE31,1710.58,18.36
AT12-SE32,AT12,SE32,2005.75,22.23
AT12-SE33,AT12,SE33,2403.08,27.8
AT12-SI03,AT12,SI03,338.55,3.57
AT12-SI04,AT12,SI04,450.08,4.93
AT12-SK01,AT12,SK01,135.86,1.66
AT12-SK02,AT12,SK02,209.89,2.59
AT12-SK03,AT12,SK03,320.6,3.92
AT12-SK04,AT12,SK04,485.7,6
AT12-UKC1,AT12,UKC1,1629.89,20.4
AT12-UKC2,AT12,UKC2,1641.29,20.61
AT12-UKD1,AT12,UKD1,1689.62,21.44
AT12-UKD3,AT12,UKD3,1616.59,20.55
AT12-UKD4,AT12,UKD4,1650.9,21
AT12-UKD6,AT12,UKD6,1631.87,20.75
AT12-UKD7,AT12,UKD7,1657.03,21.18
AT12-UKE1,AT12,UKE1,1484.6,18.7
AT12-UKE2,AT12,UKE2,1572.12,19.82
AT12-UKE3,AT12,UKE3,1557.64,19.76
AT12-UKE4,AT12,UKE4,1567.59,19.87
AT12-UKF1,AT12,UKF1,1541.98,19.62
AT12-UKF2,AT12,UKF2,1477.39,18.84
AT12-UKF3,AT12,UKF3,1500.12,18.96
AT12-UKG1,AT12,UKG1,1557.51,19.95
AT12-UKG2,AT12,UKG2,1578.87,20.26
AT12-UKG3,AT12,UKG3,1540.39,19.74
AT12-UKH1,AT12,UKH1,1351.3,17.11
AT12-UKH2,AT12,UKH2,1427.63,18.15
AT12-UKH3,AT12,UKH3,1340.89,17.02
AT12-UKI3,AT12,UKI3,1375.97,17.64
AT12-UKI4,AT12,UKI4,1368.02,17.53
AT12-UKI5,AT12,UKI5,1368.51,17.51
AT12-UKI6,AT12,UKI6,1373.48,17.59
AT12-UKI7,AT12,UKI7,1387.41,17.79
AT12-UKJ1,AT12,UKJ1,1454.95,18.67
AT12-UKJ2,AT12,UKJ2,1392.59,17.84
AT12-UKJ3,AT12,UKJ3,1475.91,18.91
AT12-UKJ4,AT12,UKJ4,1307.69,16.75
AT12-UKK1,AT12,UKK1,1546.11,19.86
AT12-UKK2,AT12,UKK2,1568.84,20.21
AT12-UKK3,AT12,UKK3,1780.95,22.92
AT12-UKK4,AT12,UKK4,1675.38,21.59
AT12-UKL1,AT12,UKL1,1726.66,22.18
AT12-UKL2,AT12,UKL2,1637.12,21.04
AT12-UKM2,AT12,UKM2,1809.37,22.7
AT12-UKM3,AT12,UKM3,1820.92,23.1
AT12-UKM5,AT12,UKM5,1966.69,24.57
AT12-UKM6,AT12,UKM6,2096.5,26.26
AT12-UKN0,AT12,UKN0,2008.29,25.63
AT13-AT11,AT13,AT11,93.34,0.95
AT13-AT12,AT13,AT12,48.68,0.6
AT13-AT13,AT13,AT13,0,0
AT13-AT21,AT13,AT21,300.17,3.42
AT13-AT22,AT13,AT22,172.21,1.94
AT13-AT31,AT13,AT31,199.93,2.54
AT13-AT32,AT13,AT32,336.8,4.05
AT13-AT33,AT13,AT33,436.03,5.38
AT13-AT34,AT13,AT34,598.05,7.34
AT13-BE10,AT13,BE10,1070.19,13.46
AT13-BE21,AT13,BE21,1061.93,13.31
AT13-BE22,AT13,BE22,991.1,12.35
AT13-BE23,AT13,BE23,1117.04,14.08
